date,spec,ukr_cpi_yoy_actual,ukr_cpi_yoy_counterfactual,ukr_ip_yoy_actual,ukr_ip_yoy_counterfactual,inflation_gap
2013-12-01,baseline_no_fx_lag6,0.4961721609445968,1.1184142483186372,0.0,-1.08641510746972,-0.6222420873740404
2015-01-01,baseline_no_fx_lag6,28.48356419872249,11.857419170806871,-16.48936170212766,-17.48013218145352,16.62614502791562
2015-02-01,baseline_no_fx_lag6,34.486275448563376,16.14620063850141,-16.54411764705882,-17.421068171112008,18.340074810061967
2015-03-01,baseline_no_fx_lag6,45.80312445891215,23.692193015410524,-17.261904761904756,-17.249622346315693,22.110931443501627
2015-04-01,baseline_no_fx_lag6,60.90567462067749,31.732705706879266,-16.607142857142854,-17.721757559086754,29.172968913798222
2015-05-01,baseline_no_fx_lag6,58.42543300802738,35.54939018701861,-16.233183856502244,-16.46688526760859,22.876042821008774
2015-06-01,baseline_no_fx_lag6,57.48429182184107,36.35642425069581,-14.598540145985409,-15.932837755688256,21.12786757114526
2015-07-01,baseline_no_fx_lag6,55.2882957207397,36.711401876241524,-13.235294117647056,-15.110974290511136,18.576893844498173
2015-08-01,baseline_no_fx_lag6,52.82340213787078,36.80507933113833,-7.456588355464766,-9.391902659083264,16.01832280673245
2015-09-01,baseline_no_fx_lag6,51.93230358313099,33.9159715726028,-6.504854368932045,-9.552694124899,18.01633201052819
2015-10-01,baseline_no_fx_lag6,46.442562145068614,32.3237714144386,-7.053571428571437,-9.431906515829258,14.11879073063001
2015-11-01,baseline_no_fx_lag6,46.586274178577035,31.198042834278514,-8.625336927223714,-10.249882600045751,15.388231344298521
2015-12-01,baseline_no_fx_lag6,43.3129884444923,30.022322862541102,-5.081669691470059,-5.319563133069263,13.290665581951195
2016-01-01,baseline_no_fx_lag6,40.2549033370444,30.046226323726735,0.1061571125265281,1.1450505765113288,10.208677013317661
2016-02-01,baseline_no_fx_lag6,32.66275757236108,23.673691841050356,8.25991189427313,8.029103568696321,8.989065731310724
2016-03-01,baseline_no_fx_lag6,20.92904796758548,17.074385812629078,3.083247687564228,2.7484185879260172,3.854662154956401
2016-04-01,baseline_no_fx_lag6,9.790846181097358,10.865679927612732,4.175588865096347,3.108491041097343,-1.074833746515374
2016-05-01,baseline_no_fx_lag6,7.5348698897049315,7.36245193350994,1.0706638115631772,-1.6240674737356917,0.1724179561949919
2016-06-01,baseline_no_fx_lag6,6.8922312250254025,7.1731671177326275,-1.923076923076916,-4.222254619738775,-0.28093589270722497
2016-07-01,baseline_no_fx_lag6,7.863978781616554,7.5890023383781315,1.483050847457612,-1.8358323294993166,0.2749764432384225
2016-08-01,baseline_no_fx_lag6,8.407648029507797,7.620806854334528,5.298013245033117,2.1058297965250263,0.7868411751732687
2016-09-01,baseline_no_fx_lag6,7.877796377359658,7.342502971587014,4.984423676012462,2.5644362839319315,0.5352934057726442
2016-10-01,baseline_no_fx_lag6,12.359042224848782,6.88663500839246,5.091258405379451,2.647956084834803,5.472407216456322
2016-11-01,baseline_no_fx_lag6,12.138730377349049,6.630865763352782,8.7512291052114,7.163097733181439,5.507864613996267
2016-12-01,baseline_no_fx_lag6,12.361448809081654,7.7251211841750065,6.596558317399626,4.240987117148332,4.636327624906648
2017-01-01,baseline_no_fx_lag6,12.584167240814171,11.474401508649525,4.241781548250256,2.9199097087662125,1.1097657321646466
2017-02-01,baseline_no_fx_lag6,14.166675615685076,13.756206638297343,-3.3570701932858604,-4.303686954715678,0.41046897738773325
2017-03-01,baseline_no_fx_lag6,15.070966115611274,11.83242886989192,0.7976071784645988,-0.1522985520800506,3.2385372457193533
