date,UKR_CPI_MOM_INDEX,UKR_CPI_LEVEL,UKR_CPI_YOY,AT,BE,DE,ES,FI,FR,GR,IE,IT,NL,PT,EA_HICP_YOY,UKR_IP_LEVEL,UKR_IP_YOY,EA_IP_LEVEL,EA_IP_YOY,UAH_USD,log_uah_usd,dlog_uah_usd,UAH_EUR,log_uah_eur,dlog_uah_eur,NBU_POLICY_RATE,ECB_REFI_RATE,OIL_PRICE,WHEAT_PRICE,dlog_oil,dlog_wheat,CRISIS_0809,CRISIS_1415,WAR_2022PLUS,POST_2016_IT
2013-03-01,100.0,362.797871804493,-0.7988942157067469,2.4,1.4,1.9,2.6,2.5,1.1,-0.2,0.6,1.8,3.2,0.7,1.6363636363636365,125.3,-4.6423135464231375,95.3,-2.854230377166156,7.993,2.078566158643882,0.0,10.364549,2.338391233122456,-0.03183123642356467,7.5,0.75,102.5225,309.7491381,-0.04868621570704512,-0.029224756658494222,0,0,0,0
2013-04-01,100.0,362.797871804493,-0.7988942157067469,2.1,1.2,1.1,1.5,2.4,0.8,-0.6,0.5,1.2,2.8,0.4,1.2181818181818183,123.1,-1.9904458598726138,95.9,-1.2358393408856694,7.993,2.078566158643882,0.0,10.396441933333334,2.341463625815442,0.0030723926929860923,7.5,0.75,98.85196969697,308.2793913,-0.03645881114612415,-0.004756251534649536,0,0,0,0
2013-05-01,100.1,363.1606696762975,-0.4008957973143934,2.4,1.2,1.5,1.8,2.5,0.9,-0.3,0.4,1.2,3.1,0.9,1.418181818181818,116.7,-8.899297423887587,95.7,-2.0470829068577223,7.993,2.078566158643882,0.0,10.384428258064517,2.3403074012207505,-0.0011562245946916683,7.5,0.5,99.36663341489,319.669929,0.005192901840540998,0.03628250518142373,0,0,0,0
2013-06-01,100.0,363.1606696762975,-0.10119939550089496,2.2,1.6,2.0,2.2,2.3,1.0,-0.2,0.7,1.2,3.2,1.2,1.5818181818181818,118.5,-5.502392344497609,96.3,-0.7216494845360799,7.993,2.078566158643882,0.0,10.527660233333334,2.3540061013924816,0.013698700171731026,7.15,0.5,99.74266666667,313.4235051,0.0037771585626158455,-0.019733664156951214,0,0,0,0
2013-07-01,99.9,362.7975090066212,-0.0011003968992007174,2.1,1.6,2.0,1.9,2.5,1.2,-0.5,0.8,1.2,3.1,0.8,1.518181818181818,125.1,-4.430863254392669,95.7,-1.7453798767967155,7.993,2.078566158643882,0.0,10.448810612903227,2.3464881549861203,-0.0075179464063612755,7.0,0.5,105.25790513834,304.6050243,0.053820042003425606,-0.028539392356383253,0,0,0,0
2013-08-01,99.3,360.2579264435749,-0.40229959289959094,2.0,1.1,1.5,1.6,2.1,1.0,-1.0,0.1,1.1,2.8,0.2,1.136363636363636,122.2,-4.381846635367759,96.1,-1.838610827374887,7.993,2.078566158643882,0.0,10.636078903225807,2.3642518918588795,0.017763736872759228,6.693548387096774,0.5,108.15763636364,305.3398977,0.027176180964284313,0.002409639720152512,0,0,0,0
2013-09-01,100.0,360.2579264435749,-0.501797795104475,1.8,1.0,1.5,0.5,1.8,1.0,-1.0,0.0,0.9,2.4,0.3,0.9272727272727274,122.0,-4.6875,96.5,0.0,7.993,2.078566158643882,0.0,10.667298033333333,2.367182803004921,0.0029309111460413817,6.5,0.5,108.75773015873,307.50777423,0.0055329904528989005,0.007074794183380639,0,0,0,0
2013-10-01,100.4,361.6989581493492,-0.10380498628489443,1.5,0.7,1.2,0.0,1.7,0.7,-1.9,-0.1,0.7,1.3,0.0,0.5272727272727273,131.1,-4.306569343065703,96.2,0.732984293193728,7.993,2.078566158643882,0.0,10.89765635483871,2.388547752798871,0.021364949793950316,6.5,0.5,105.42713438735,325.6867049625,-0.031102704381976487,0.057435522585332244,0,0,0,0
2013-11-01,100.2,362.4223560656479,0.19618358732984564,1.5,0.9,1.6,0.3,1.8,0.8,-2.9,0.3,0.6,1.2,0.1,0.5636363636363636,128.3,-3.8230884557721057,96.9,2.1074815595363505,7.993,2.078566158643882,0.0,10.785248066666666,2.3781792806583484,-0.010368472140522833,6.5,0.25,102.62649122807,306.75162817895,-0.026923946466959947,-0.05989750014732742,0,0,0,0
2013-12-01,100.5,364.2344678459761,0.4961721609445968,2.0,1.2,1.2,0.3,1.9,0.8,-1.8,0.3,0.6,1.4,0.2,0.7363636363636362,128.4,-0.15552099533435726,96.9,1.7857142857142794,7.993,2.078566158643882,0.0,10.940689516129034,2.39248882207618,0.014309541417831806,6.5,0.25,105.48165079365,291.55664720357,0.02744091314966468,-0.05080407447345969,0,0,0,0
2014-01-01,100.2,364.962936781668,0.4961721609445746,1.5,1.1,1.1,0.3,1.9,0.8,-1.4,0.3,0.6,0.8,0.1,0.6454545454545454,111.8,-1.5845070422535135,96.7,2.4364406779660897,7.993,2.078566158643882,0.0,10.91565329032258,2.3901978407369344,-0.002290981339245768,6.5,0.25,102.09666666667,275.577525,-0.03261693475595706,-0.056365330473017394,0,0,0,0
2014-02-01,100.6,367.152714402358,1.200349543453716,1.5,0.8,1.0,0.1,1.6,1.1,-0.9,0.1,0.4,0.4,-0.1,0.5454545454545454,107.8,-4.34782608695653,96.8,2.2175290390707536,8.654882142857144,2.158123571303469,0.07955741265958727,11.80315867857143,2.46836718027518,0.07816933953824545,6.5,0.25,104.82666666667,292.1121765,0.026388115538805934,0.058268908123975116,0,1,0,0
2014-03-01,102.2,375.2300741192099,3.426757233409705,1.5,0.8,0.7,-0.2,1.3,0.8,-1.5,0.2,0.3,0.1,-0.4,0.3272727272727272,116.5,-7.023144453312047,96.4,1.1542497376705319,9.920029032258064,2.2945558479314165,0.13643227662794732,13.690966129032256,2.6167362086899186,0.14836902841473876,6.5,0.25,104.04,323.7117327,-0.007532751865076293,0.10271551128184786,0,1,0,0
2014-04-01,103.3,387.6126665651438,6.8398402221122145,1.6,0.8,1.1,0.3,1.3,0.8,-1.6,0.3,0.5,0.6,-0.1,0.5090909090909091,111.0,-9.829406986190081,97.0,1.147028154327412,11.637127166666666,2.454200604854035,0.15964475692261848,16.0799589,2.7775737077774045,0.1608374990874859,8.1,0.25,104.86666666667,324.8140428,0.007914261375648657,0.0033994367014642535,0,1,0,0
2014-05-01,103.8,402.34194789461924,10.788965185367093,1.5,0.7,0.7,0.2,1.0,0.8,-2.1,0.4,0.4,0.1,-0.3,0.30909090909090914,110.5,-5.312767780634109,95.9,0.2089864158829613,11.643625741935484,2.4547588836573984,0.0005582788033633435,16.005844032258064,2.7729539075676306,-0.004619800209773928,9.5,0.25,105.71333333333,334.7348337,0.008041326137180782,0.030085834622314955,0,1,0,0
2014-06-01,101.0,406.36536737356545,11.896854837220761,1.7,0.6,0.9,0.0,1.1,0.6,-1.5,0.5,0.3,0.3,-0.2,0.3909090909090908,108.6,-8.354430379746836,96.3,0.0,11.8095251,2.468906417715747,0.014147534058348565,16.043545266666666,2.7753066046157544,0.0023526970481237974,9.5,0.15,108.37333333333,306.4422078,0.0248510281886416,-0.08830949490121132,0,1,0,0
2014-07-01,100.4,407.9908288430597,12.456899155725365,1.7,0.5,0.7,-0.4,1.0,0.6,-0.8,0.4,0.0,0.3,-0.7,0.30000000000000004,107.8,-13.828936850519579,96.8,1.1494252873563093,11.758699838709678,2.4645933784256515,-0.004313039290095411,15.937502419354837,2.7686749747212898,-0.006631629894464641,10.951612903225806,0.15,105.22666666667,280.3542021,-0.02946530267569436,-0.08897537107428999,0,1,0,0
2014-08-01,100.8,411.2547554738042,14.155643855962929,1.5,0.4,0.8,-0.5,1.2,0.5,-0.2,0.6,-0.1,0.4,-0.1,0.40909090909090917,97.0,-20.621931260229132,95.0,-1.144640998959412,12.974419322580646,2.56297967449215,0.09838629606649851,17.27972593548387,2.849533903035081,0.08085892831379127,12.5,0.15,100.05,263.4521139,-0.05044669257648504,-0.06218219068483677,0,1,0,0
2014-09-01,102.9,423.18114338254463,17.466157527785864,1.4,0.2,0.8,-0.3,1.5,0.4,-1.1,0.5,-0.1,0.3,0.0,0.3272727272727272,102.1,-16.311475409836074,96.1,-0.4145077720207335,13.0123784,2.565901089036713,0.0029214145445628503,16.806339266666665,2.8217561525369845,-0.0277777504980965,12.5,0.05,95.85,243.6105321,-0.042885591538088796,-0.07830085041375767,0,1,0,0
2014-10-01,102.4,433.3374908237257,19.806120825152117,1.4,0.3,0.7,-0.2,1.2,0.5,-1.8,0.4,0.2,0.4,0.1,0.2909090909090909,111.0,-15.33180778032036,96.1,-0.10395010395011228,12.949849741935484,2.5610841851388875,-0.004816903897825409,16.423584967741935,2.79871840953263,-0.02303774300435446,12.5,0.05,86.08,245.4477156,-0.10750737307817904,0.007513183350782882,0,1,0,0
2014-11-01,101.9,441.57090314937653,21.838759601626776,1.5,0.1,0.5,-0.5,1.1,0.4,-1.2,0.2,0.3,0.3,0.1,0.2545454545454545,110.3,-14.029618082618867,95.7,-1.2383900928792602,14.7313455,2.6899775704984314,0.12889338535954398,18.3954736,2.9121046343519765,0.11338622481934646,13.4,0.05,76.99333333333,258.6754368,-0.1115582583946857,0.05249018262139682,0,1,0,0
2014-12-01,103.0,454.81803024385783,24.869574517090133,0.8,-0.4,0.1,-1.1,0.6,0.1,-2.5,-0.3,0.0,-0.1,-0.3,-0.2818181818181818,109.2,-14.953271028037385,96.9,0.0,15.62919841935484,2.7491408583681074,0.05916328786967595,19.270440999999998,2.9585723674783697,0.046467733126393185,14.0,0.05,60.70333333333,269.6985378,-0.2377202265792251,0.041730672456472995,0,1,0,0
2015-01-01,103.1,468.9173891814174,28.48356419872249,0.5,-0.6,-0.5,-1.5,-0.1,-0.4,-2.8,-0.4,-0.5,-0.7,-0.4,-0.6727272727272728,93.3,-16.547406082289807,96.5,-0.20682523267838704,15.818962580645161,2.761209383744599,0.01206852537649139,18.519162387096774,2.918806000716664,-0.03976636676170564,14.0,0.05,47.10666666667,248.3872092,-0.253584077616658,-0.08231595257155178,0,1,0,0
