date,UKR_IP_YOY,UKR_CPI_YOY,EA_IP_YOY,EA_HICP_YOY,dlog_uah_usd,dlog_uah_eur,dlog_oil,dlog_wheat,NBU_POLICY_RATE,ECB_REFI_RATE,CRISIS_0809,CRISIS_1415,WAR_2022PLUS,POST_2016_IT
2012-11-01,-2.4140453547915053,-0.20249597612673753,-4.238143289606445,2.2181818181818183,0.0,-0.011336006857931125,-0.02183511447521891,0.0073076953459985106,7.5,0.75,0,0,0,0
2012-12-01,-5.51065393093314,-0.20249597612672643,-3.3502538071065957,2.2818181818181817,0.0,0.022058756009097458,0.00019025808906203423,-0.03629221516838754,7.5,0.75,0,0,0,0
2013-01-01,-3.236797274275993,-0.20249597612670422,-3.5750766087844776,1.8636363636363633,0.0,0.010667373466155539,0.03787816480020201,-0.03656321259111017,7.5,0.75,0,0,0,0
2013-02-01,-5.611390284757123,-0.5012908983538678,-1.763485477178428,1.736363636363636,0.0,0.00963295562319999,0.023854165041300668,-0.05054416593461841,7.5,0.75,0,0,0,0
2013-03-01,-4.6423135464231375,-0.7988942157067469,-2.854230377166156,1.6363636363636365,0.0,-0.03183123642356467,-0.04868621570704512,-0.029224756658494222,7.5,0.75,0,0,0,0
2013-04-01,-1.9904458598726138,-0.7988942157067469,-1.2358393408856694,1.2181818181818183,0.0,0.0030723926929860923,-0.03645881114612415,-0.004756251534649536,7.5,0.75,0,0,0,0
2013-05-01,-8.899297423887587,-0.4008957973143934,-2.0470829068577223,1.418181818181818,0.0,-0.0011562245946916683,0.005192901840540998,0.03628250518142373,7.5,0.5,0,0,0,0
2013-06-01,-5.502392344497609,-0.10119939550089496,-0.7216494845360799,1.5818181818181818,0.0,0.013698700171731026,0.0037771585626158455,-0.019733664156951214,7.15,0.5,0,0,0,0
2013-07-01,-4.430863254392669,-0.0011003968992007174,-1.7453798767967155,1.518181818181818,0.0,-0.0075179464063612755,0.053820042003425606,-0.028539392356383253,7.0,0.5,0,0,0,0
2013-08-01,-4.381846635367759,-0.40229959289959094,-1.838610827374887,1.136363636363636,0.0,0.017763736872759228,0.027176180964284313,0.002409639720152512,6.693548387096774,0.5,0,0,0,0
2013-09-01,-4.6875,-0.501797795104475,0.0,0.9272727272727274,0.0,0.0029309111460413817,0.0055329904528989005,0.007074794183380639,6.5,0.5,0,0,0,0
2013-10-01,-4.306569343065703,-0.10380498628489443,0.732984293193728,0.5272727272727273,0.0,0.021364949793950316,-0.031102704381976487,0.057435522585332244,6.5,0.5,0,0,0,0
2013-11-01,-3.8230884557721057,0.19618358732984564,2.1074815595363505,0.5636363636363636,0.0,-0.010368472140522833,-0.026923946466959947,-0.05989750014732742,6.5,0.25,0,0,0,0
2013-12-01,-0.15552099533435726,0.4961721609445968,1.7857142857142794,0.7363636363636362,0.0,0.014309541417831806,0.02744091314966468,-0.05080407447345969,6.5,0.25,0,0,0,0
2014-01-01,-1.5845070422535135,0.4961721609445746,2.4364406779660897,0.6454545454545454,0.0,-0.002290981339245768,-0.03261693475595706,-0.056365330473017394,6.5,0.25,0,0,0,0
2014-02-01,-4.34782608695653,1.200349543453716,2.2175290390707536,0.5454545454545454,0.07955741265958727,0.07816933953824545,0.026388115538805934,0.058268908123975116,6.5,0.25,0,1,0,0
2014-03-01,-7.023144453312047,3.426757233409705,1.1542497376705319,0.3272727272727272,0.13643227662794732,0.14836902841473876,-0.007532751865076293,0.10271551128184786,6.5,0.25,0,1,0,0
2014-04-01,-9.829406986190081,6.8398402221122145,1.147028154327412,0.5090909090909091,0.15964475692261848,0.1608374990874859,0.007914261375648657,0.0033994367014642535,8.1,0.25,0,1,0,0
2014-05-01,-5.312767780634109,10.788965185367093,0.2089864158829613,0.30909090909090914,0.0005582788033633435,-0.004619800209773928,0.008041326137180782,0.030085834622314955,9.5,0.25,0,1,0,0
2014-06-01,-8.354430379746836,11.896854837220761,0.0,0.3909090909090908,0.014147534058348565,0.0023526970481237974,0.0248510281886416,-0.08830949490121132,9.5,0.15,0,1,0,0
2014-07-01,-13.828936850519579,12.456899155725365,1.1494252873563093,0.30000000000000004,-0.004313039290095411,-0.006631629894464641,-0.02946530267569436,-0.08897537107428999,10.951612903225806,0.15,0,1,0,0
2014-08-01,-20.621931260229132,14.155643855962929,-1.144640998959412,0.40909090909090917,0.09838629606649851,0.08085892831379127,-0.05044669257648504,-0.06218219068483677,12.5,0.15,0,1,0,0
2014-09-01,-16.311475409836074,17.466157527785864,-0.4145077720207335,0.3272727272727272,0.0029214145445628503,-0.0277777504980965,-0.042885591538088796,-0.07830085041375767,12.5,0.05,0,1,0,0
2014-10-01,-15.33180778032036,19.806120825152117,-0.10395010395011228,0.2909090909090909,-0.004816903897825409,-0.02303774300435446,-0.10750737307817904,0.007513183350782882,12.5,0.05,0,1,0,0
2014-11-01,-14.029618082618867,21.838759601626776,-1.2383900928792602,0.2545454545454545,0.12889338535954398,0.11338622481934646,-0.1115582583946857,0.05249018262139682,13.4,0.05,0,1,0,0
2014-12-01,-14.953271028037385,24.869574517090133,0.0,-0.2818181818181818,0.05916328786967595,0.046467733126393185,-0.2377202265792251,0.041730672456472995,14.0,0.05,0,1,0,0
2015-01-01,-16.547406082289807,28.48356419872249,-0.20682523267838704,-0.6727272727272728,0.01206852537649139,-0.03976636676170564,-0.253584077616658,-0.08231595257155178,14.0,0.05,0,1,0,0
2015-02-01,-16.512059369202227,34.486275448563376,-0.20661157024793875,-0.4090909090909091,0.44507268592942095,0.41452051625302655,0.1510931617274185,-0.046942759247190935,18.517857142857142,0.05,0,1,0,0
2015-03-01,-17.25321888412017,45.80312445891215,0.8298755186721962,-0.1545454545454545,-0.06271057419541481,-0.10537354721893388,-0.03649158182807488,-0.026710150327573956,28.983870967741936,0.05,0,1,0,0
2015-04-01,-16.666666666666664,60.90567462067749,0.0,-0.00909090909090911,-0.020789367283920335,-0.03069877267749188,0.08552217343804047,-0.03236528450203213,30.0,0.05,0,1,0,0
2015-05-01,-16.289592760180994,58.42543300802738,1.564129301355588,0.3818181818181819,-0.08230329877952869,-0.04767575180105643,0.08273493056030201,-0.03685509238915419,30.0,0.05,0,1,0,0
2015-06-01,-14.640883977900543,57.48429182184107,1.1422637590861928,0.38181818181818183,0.015069855519616926,0.021756646762050913,-0.01938462593372048,-0.02593057992100256,30.0,0.05,0,1,0,0
2015-07-01,-13.265306122448973,55.2882957207397,1.2396694214876103,0.38181818181818183,0.02440401404043291,0.004135929927410409,-0.12062798778866934,-0.06139111514714557,30.0,0.05,0,1,0,0
2015-08-01,-7.422680412371141,52.82340213787078,1.5789473684210575,0.3181818181818182,-0.006016301199658347,0.003162475024522049,-0.17338114842302144,-0.0936356050339926,29.612903225806452,0.05,0,1,0,0
2015-09-01,-6.562193927522031,51.93230358313099,1.1446409989594342,0.09999999999999996,0.007212695470373287,0.01824521293820558,0.012830446750295543,-0.03962979477076711,26.0,0.05,0,1,0,0
2015-10-01,-7.027027027027022,46.442562145068614,1.5608740894901052,0.2999999999999999,0.002653919362607393,0.004038283250050956,0.014515288278701188,8.510276163598007e-05,22.0,0.05,0,1,0,0
2015-11-01,-8.612873980054392,46.586274178577035,1.6718913270637348,0.22727272727272732,0.06519205100094716,0.020673308166677895,-0.08539288325391725,0.025126316584859865,22.0,0.05,0,1,0,0
2015-12-01,-5.128205128205132,43.3129884444923,0.20639834881319707,0.3909090909090909,0.004099278889527103,0.014224534027019509,-0.16451292994905797,0.06622278661313619,22.0,0.05,0,1,0,0
2016-01-01,0.1071811361200492,40.254903337044404,2.590673575129543,0.4272727272727273,0.035721887745627345,0.03561350860224666,-0.2054823501453389,0.021134312073972872,22.0,0.05,0,0,0,1
2016-02-01,8.22222222222222,32.66275757236108,1.9668737060041463,0.09090909090909091,0.08428457129010036,0.10725962082653107,0.041117451204426114,-0.03285319618718674,22.0,0.05,0,0,0,1
2016-03-01,3.112033195020736,20.92904796758548,0.7201646090535085,0.07272727272727271,-0.001398695774420311,-0.0039672106230534965,0.18511065965328743,0.021380795024950494,22.0,0.0,0,0,0,1
2016-04-01,4.216216216216218,9.790846181097358,2.0618556701030855,0.0090909090909091,-0.02795816890590963,-0.005275097640911497,0.0873907015732951,-0.019418085857101808,21.1,0.0,0,0,0,1
2016-05-01,1.08108108108107,7.5348698897049315,0.2053388090349051,0.08181818181818185,-0.016592193997476024,-0.019431098846568684,0.1198077965321449,-0.08594242980072497,18.838709677419356,0.0,0,0,0,1
2016-06-01,-1.8338727076591232,6.8922312250254025,0.7186858316221567,0.2545454545454545,-0.010224161249416053,-0.014345995938408684,0.037388197793181366,0.006389798098771493,17.65,0.0,0,0,0,1
2016-07-01,1.497326203208571,7.863978781616554,0.20408163265306367,0.3,-0.0054075040373406935,-0.0218770630351921,-0.07758754798945544,-0.13141050105538543,16.403225806451612,0.0,0,0,0,1
